Episode: 1370, Steps: 334, Reward: -2.730961496787465, FPS: 76
Episode: 1371, Steps: 385, Reward: -2.360626678191405, FPS: 90
Episode: 1372, Steps: 340, Reward: -2.503405361314204, FPS: 82
Episode: 1373, Steps: 241, Reward: -2.1639672005988295, FPS: 79
Episode: 1374, Steps: 389, Reward: -2.488996880624864, FPS: 82
Episode: 1375, Steps: 247, Reward: -1.7424881711573037, FPS: 77
Episode: 1376, Steps: 475, Reward: -2.8874645319842447, FPS: 78
Episode: 1377, Steps: 271, Reward: -2.3089070435544636, FPS: 72
Episode: 1378, Steps: 376, Reward: -2.245690259226385, FPS: 85
Episode: 1379, Steps: 316, Reward: -2.4926254381263577, FPS: 71
Episode: 1380, Steps: 426, Reward: -2.0648589861256386, FPS: 91
Episode: 1381, Steps: 360, Reward: -2.782204225476952, FPS: 76
Episode: 1382, Steps: 262, Reward: -2.6117908126513565, FPS: 85
Episode: 1383, Steps: 239, Reward: -2.3565681821322064, FPS: 80
Episode: 1384, Steps: 340, Reward: -2.722581773666632, FPS: 83
Episode: 1385, Steps: 326, Reward: -2.386772504201673, FPS: 88
Episode: 1386, Steps: 338, Reward: -2.816628233764224, FPS: 74
Episode: 1387, Steps: 557, Reward: -3.2529368553903555, FPS: 81
Episode: 1388, Steps: 570, Reward: -3.6776115285029998, FPS: 78
Episode: 1389, Steps: 517, Reward: -2.7691549998342824, FPS: 82
Episode: 1390, Steps: 325, Reward: -2.5080355544157857, FPS: 72
Episode: 1391, Steps: 284, Reward: -2.490776586720866, FPS: 80
Episode: 1392, Steps: 328, Reward: -2.200528566865337, FPS: 85
Episode: 1393, Steps: 374, Reward: -2.43707072850793, FPS: 79
Episode: 1394, Steps: 356, Reward: -3.0866874141132388, FPS: 87
Episode: 1395, Steps: 325, Reward: -2.8119410848815964, FPS: 78
Episode: 1396, Steps: 321, Reward: -2.483540958853046, FPS: 91
Episode: 1397, Steps: 292, Reward: -2.908560988854823, FPS: 73
Episode: 1398, Steps: 442, Reward: -3.9603940612177007, FPS: 88
Episode: 1399, Steps: 784, Reward: -5.3439152246596855, FPS: 82
Episode: 1400, Steps: 829, Reward: -4.347343246336976, FPS: 51
Avg Eval Reward over 100 episodes: -2.627880432561937
Saving model. Average Eval Reward below 1.8.
... saving checkpoint ...
... saving checkpoint ...
... saving checkpoint ...
... saving checkpoint ...
Episode: 1401, Steps: 318, Reward: -2.4092650779685476, FPS: 80
Episode: 1402, Steps: 419, Reward: -2.33062466901403, FPS: 81
Episode: 1403, Steps: 312, Reward: -2.2523500115934816, FPS: 79
Episode: 1404, Steps: 252, Reward: -2.807743621845943, FPS: 83
Episode: 1405, Steps: 379, Reward: -2.3358369601080584, FPS: 84
Episode: 1406, Steps: 350, Reward: -2.473131097897576, FPS: 88
Episode: 1407, Steps: 267, Reward: -2.0030581140399133, FPS: 74
Episode: 1408, Steps: 238, Reward: -1.7495817007342893, FPS: 96
Episode: 1409, Steps: 345, Reward: -2.766647154792506, FPS: 87
Episode: 1410, Steps: 447, Reward: -2.8465218796814478, FPS: 83
Episode: 1411, Steps: 453, Reward: -2.807061223795483, FPS: 77
Episode: 1412, Steps: 374, Reward: -2.2744553532682366, FPS: 85
Episode: 1413, Steps: 588, Reward: -3.9742633201048987, FPS: 77
Episode: 1414, Steps: 250, Reward: -2.659845464279463, FPS: 82
Episode: 1415, Steps: 427, Reward: -2.398637277169329, FPS: 77
Episode: 1416, Steps: 314, Reward: -2.4606136707732436, FPS: 84
Episode: 1417, Steps: 429, Reward: -3.6754631485330136, FPS: 77
Episode: 1418, Steps: 420, Reward: -2.7010058371968304, FPS: 79
Episode: 1419, Steps: 387, Reward: -3.080380088156919, FPS: 89
Episode: 1420, Steps: 379, Reward: -2.3961329899418446, FPS: 76
Episode: 1421, Steps: 229, Reward: -2.2057025530650503, FPS: 85
Episode: 1422, Steps: 234, Reward: -2.072813937698392, FPS: 95
Episode: 1423, Steps: 548, Reward: -3.2321830173775337, FPS: 81
Episode: 1424, Steps: 407, Reward: -2.267741074021829, FPS: 78
Episode: 1425, Steps: 355, Reward: -2.855220601340129, FPS: 78
Episode: 1426, Steps: 421, Reward: -2.791963902161486, FPS: 75
Episode: 1427, Steps: 331, Reward: -2.722632756464236, FPS: 83
Episode: 1428, Steps: 343, Reward: -2.473671838728251, FPS: 81
Episode: 1429, Steps: 363, Reward: -2.1281062381316698, FPS: 77
Episode: 1430, Steps: 857, Reward: -3.9795485096589394, FPS: 81
Episode: 1431, Steps: 265, Reward: -2.078328109545977, FPS: 73
Episode: 1432, Steps: 416, Reward: -3.1669527985572303, FPS: 83
Episode: 1433, Steps: 459, Reward: -2.6489751793026812, FPS: 80
Episode: 1434, Steps: 314, Reward: -2.661634972881769, FPS: 86
Episode: 1435, Steps: 464, Reward: -3.5392120645481353, FPS: 73
Episode: 1436, Steps: 249, Reward: -2.1260080644568404, FPS: 88
Episode: 1437, Steps: 317, Reward: -1.910394941344034, FPS: 67
Episode: 1438, Steps: 434, Reward: -2.507368385009521, FPS: 85
Episode: 1439, Steps: 245, Reward: -1.8652735649346266, FPS: 78
Episode: 1440, Steps: 278, Reward: -2.247102859320483, FPS: 78
Episode: 1441, Steps: 230, Reward: -2.1020343021235552, FPS: 80
Episode: 1442, Steps: 243, Reward: -1.8825328937470927, FPS: 74
Episode: 1443, Steps: 265, Reward: -1.9283752832429848, FPS: 87
Episode: 1444, Steps: 306, Reward: -2.096634807143238, FPS: 76
Episode: 1445, Steps: 287, Reward: -2.39835347330976, FPS: 68
Episode: 1446, Steps: 249, Reward: -2.574709259619592, FPS: 90
Episode: 1447, Steps: 314, Reward: -2.377873221161729, FPS: 77
Episode: 1448, Steps: 307, Reward: -2.4702837131659816, FPS: 86
Episode: 1449, Steps: 411, Reward: -2.341064117445926, FPS: 70
Episode: 1450, Steps: 462, Reward: -3.269281341004096, FPS: 90
Episode: 1451, Steps: 459, Reward: -3.1163910723670276, FPS: 72
Episode: 1452, Steps: 354, Reward: -2.6741479579130627, FPS: 77
Episode: 1453, Steps: 247, Reward: -2.450109198423942, FPS: 71
Episode: 1454, Steps: 244, Reward: -1.6917802749989321, FPS: 91
Episode: 1455, Steps: 477, Reward: -3.2018394570711233, FPS: 69
Episode: 1456, Steps: 407, Reward: -2.7062026328250353, FPS: 87
Episode: 1457, Steps: 361, Reward: -2.4789887729279063, FPS: 73
Episode: 1458, Steps: 306, Reward: -2.391448487814035, FPS: 79
